Name,Year,Sales
Nike Runner,2000,310
Nike Runner,2001,320
Nike Runner,2002,330
Nike Runner,2003,340
Nike Runner,2004,350
Nike Runner,2005,360
Nike Runner,2006,370
Nike Runner,2007,380
Nike Runner,2008,390
Nike Runner,2009,400
Nike Runner,2010,410
Nike Runner,2011,420
Nike Runner,2012,430
Nike Runner,2013,440
Nike Runner,2014,450
Nike Runner,2015,460
Nike Runner,2016,470
Nike Runner,2017,480
Nike Runner,2018,490
Nike Runner,2019,500
Nike Runner,2020,510
Nike Runner,2021,520
Nike Runner,2022,530
Nike Runner,2023,540
Nike Runner,2024,550
